step,loss,real_crps,synth_ed,steps/s
18100,-0.213578,0.044744,0.004120,4.158214
18150,-0.208259,0.046422,0.004042,4.158287
18200,-0.208923,0.045621,0.004027,4.158237
18250,-0.207782,0.046734,0.004074,4.158341
18300,-0.209218,0.045927,0.004072,4.158411
18350,-0.208313,0.045784,0.004067,4.158514
18400,-0.215282,0.044313,0.003992,4.158541
18450,-0.211099,0.045362,0.004091,4.158555
18500,-0.208142,0.046458,0.004065,4.158672
18500,0.037966,-1.246055
18550,-0.205056,0.046622,0.004093,4.158361
18600,-0.211081,0.045240,0.004092,4.158413
18650,-0.210005,0.045224,0.004048,4.158474
18700,-0.211685,0.045786,0.004033,4.158563
18750,-0.207493,0.046168,0.004024,4.158531
18800,-0.210215,0.045227,0.004058,4.158527
18850,-0.207179,0.046259,0.004001,4.158521
18900,-0.205266,0.046950,0.004046,4.158503
18950,-0.209565,0.045242,0.004000,4.158572
19000,-0.209634,0.045605,0.004054,4.158581
19000,0.038000,-1.246055
19050,-0.203642,0.047856,0.004086,4.158569
19100,-0.208445,0.045794,0.004098,4.158556
19150,-0.212401,0.045373,0.004073,4.158573
19200,-0.210462,0.045733,0.003979,4.158681
19250,-0.212588,0.045541,0.004039,4.158749
19300,-0.206634,0.046286,0.004077,4.158710
19350,-0.207094,0.046464,0.003988,4.158661
19400,-0.204783,0.047190,0.003982,4.158684
19450,-0.208725,0.046042,0.004182,4.158651
19500,-0.210143,0.045310,0.004056,4.158458
19500,0.037980,-1.246055
19550,-0.205998,0.046642,0.004034,4.158270
19600,-0.207536,0.046422,0.004033,4.158365
19650,-0.207245,0.045930,0.004068,4.158435
19700,-0.209411,0.046169,0.004056,4.158484
19750,-0.207414,0.046300,0.004055,4.158535
19800,-0.206382,0.046885,0.004158,4.158511
19850,-0.210185,0.045221,0.004067,4.158619
19900,-0.207918,0.046032,0.004111,4.158711
19950,-0.206207,0.047139,0.003946,4.158816
20000,-0.203855,0.047309,0.004105,4.158885
20000,0.038001,-1.246055
20050,-0.212515,0.045017,0.004117,4.158618
20100,-0.206212,0.046299,0.003995,4.158677
20150,-0.202664,0.047851,0.004010,4.158729
20200,-0.213282,0.044487,0.003962,4.158750
20250,-0.206842,0.045681,0.004086,4.158785
20300,-0.208201,0.045913,0.004080,4.158813
20350,-0.211985,0.044811,0.004115,4.158905
20400,-0.205782,0.047162,0.004087,4.158976
20450,-0.209164,0.045331,0.004053,4.159002
20500,-0.202421,0.047547,0.004054,4.159100
20500,0.037999,-1.246055
20550,-0.207520,0.045837,0.004118,4.158997
20600,-0.204388,0.046767,0.004115,4.158960
20650,-0.208649,0.046283,0.004093,4.159024
20700,-0.209682,0.045648,0.003949,4.159083
20750,-0.208118,0.045650,0.004093,4.159134
20800,-0.206168,0.046409,0.004066,4.159172
20850,-0.206751,0.046632,0.004027,4.159050
20900,-0.206007,0.046591,0.004165,4.159165
20950,-0.209716,0.045480,0.004139,4.159264
21000,-0.207989,0.046242,0.004122,4.159290
21000,0.037992,-1.246055
21050,-0.202601,0.047818,0.004039,4.159229
21100,-0.208951,0.045466,0.004185,4.159363
21150,-0.210280,0.045302,0.004029,4.159336
21200,-0.208507,0.045799,0.004099,4.159356
21250,-0.211266,0.044764,0.004079,4.159424
21300,-0.208976,0.046104,0.004113,4.159450
21350,-0.209613,0.045717,0.004007,4.159463
21400,-0.207884,0.046451,0.004148,4.159451
21450,-0.204539,0.046676,0.004053,4.159514
21500,-0.205644,0.046603,0.004086,4.159501
21500,0.037976,-1.246055
21550,-0.212339,0.044923,0.003981,4.159460
21600,-0.207738,0.046191,0.004142,4.159503
21650,-0.207604,0.046267,0.004004,4.159512
21700,-0.210105,0.045921,0.004066,4.159510
21750,-0.208293,0.046015,0.004101,4.159551
21800,-0.204305,0.046713,0.004109,4.159603
21850,-0.210219,0.045303,0.004047,4.159626
21900,-0.212989,0.045346,0.004127,4.159644
21950,-0.210785,0.046016,0.003994,4.159670
22000,-0.211346,0.045220,0.004033,4.159703
