step,loss,real_crps,synth_ed,steps/s,real_frac
14000,-0.857964,0.045721,0.003540,4.300375,0.367188
14000,0.037717,-1.275562
14050,-0.829542,0.047025,0.003534,4.301287,0.367188
14100,-0.847164,0.045496,0.003533,4.302629,0.367188
14150,-0.821225,0.047334,0.003554,4.303896,0.367188
14200,-0.833075,0.046566,0.003600,4.305205,0.367188
14250,-0.829021,0.046992,0.003573,4.306515,0.367188
14300,-0.866207,0.045030,0.003551,4.307846,0.371094
14350,-0.855369,0.045676,0.003563,4.309189,0.371094
14400,-0.852686,0.045691,0.003625,4.310538,0.371094
14450,-0.857253,0.045685,0.003552,4.311872,0.371094
14500,-0.842318,0.046440,0.003481,4.313238,0.371094
14500,0.037717,-1.275562
14550,-0.848651,0.046021,0.003466,4.314405,0.371094
14600,-0.862101,0.045446,0.003541,4.315740,0.375000
14650,-0.852034,0.046759,0.003642,4.317155,0.375000
14700,-0.846064,0.046952,0.003573,4.318509,0.375000
14750,-0.844328,0.046929,0.003488,4.319667,0.375000
14800,-0.852293,0.046217,0.003552,4.321053,0.375000
14850,-0.851760,0.046535,0.003579,4.322367,0.375000
14900,-0.839130,0.047235,0.003611,4.323709,0.375000
14950,-0.894063,0.044270,0.003550,4.325070,0.378906
15000,-0.853146,0.046969,0.003598,4.326414,0.378906
15000,0.037717,-1.275562
15050,-0.879867,0.045039,0.003569,4.327637,0.378906
15100,-0.865265,0.045887,0.003568,4.329033,0.378906
15150,-0.860739,0.046143,0.003593,4.330379,0.378906
15200,-0.863140,0.046412,0.003534,4.331762,0.378906
15250,-0.849981,0.046905,0.003503,4.333123,0.382812
15300,-0.863774,0.046507,0.003624,4.334527,0.382812
15350,-0.869341,0.046301,0.003530,4.335913,0.382812
15400,-0.878131,0.045659,0.003584,4.337236,0.382812
15450,-0.872507,0.046176,0.003592,4.338706,0.382812
15500,-0.860805,0.046963,0.004599,4.340027,0.382812
15500,0.037717,-1.275562
15550,-0.862353,0.046802,0.003561,4.341200,0.382812
15600,-0.890372,0.045369,0.003501,4.342627,0.386719
15650,-0.883289,0.045996,0.003524,4.344036,0.386719
15700,-0.872221,0.046549,0.003565,4.345407,0.386719
15750,-0.864405,0.046907,0.003534,4.346861,0.386719
15800,-0.878200,0.046576,0.003486,4.348253,0.386719
15850,-0.868719,0.046712,0.003583,4.349621,0.386719
15900,-0.886955,0.045861,0.003571,4.350893,0.390625
15950,-0.885468,0.046227,0.003607,4.352279,0.390625
16000,-0.884497,0.046422,0.003548,4.353625,0.390625
16000,0.037717,-1.275562
16050,-0.889102,0.046162,0.003497,4.354625,0.390625
16100,-0.897756,0.045093,0.003606,4.355850,0.390625
16150,-0.877297,0.046801,0.003511,4.357242,0.390625
16200,-0.870771,0.047425,0.003542,4.358633,0.390625
16250,-0.891084,0.046391,0.003584,4.359988,0.394531
16300,-0.877509,0.046586,0.003592,4.361422,0.394531
16350,-0.884735,0.047045,0.003482,4.362844,0.394531
16400,-0.909119,0.045634,0.003601,4.364196,0.394531
16450,-0.902833,0.045769,0.003544,4.365590,0.394531
16500,-0.878004,0.047432,0.003604,4.366981,0.394531
16500,0.037717,-1.275562
16550,-0.900371,0.046435,0.003530,4.368280,0.398438
16600,-0.886036,0.047166,0.003609,4.369628,0.398438
16650,-0.895356,0.046640,0.003530,4.371054,0.398438
16700,-0.916840,0.045434,0.003584,4.372474,0.398438
16750,-0.900782,0.046238,0.003496,4.373851,0.398438
16800,-0.908578,0.046065,0.004016,4.375221,0.398438
16850,-0.877182,0.047395,0.003515,4.376589,0.398438
16900,-0.898951,0.046414,0.003559,4.378036,0.402344
16950,-0.917043,0.045873,0.003583,4.379503,0.402344
17000,-0.918594,0.045638,0.003605,4.380986,0.402344
17000,0.037717,-1.275562
17050,-0.904408,0.046812,0.004018,4.382256,0.402344
17100,-0.919418,0.045982,0.003584,4.383601,0.402344
17150,-0.930495,0.045122,0.003584,4.384940,0.402344
17200,-0.909115,0.046684,0.003544,4.386307,0.406250
17250,-0.909756,0.046878,0.003612,4.387711,0.406250
17300,-0.922596,0.045731,0.003580,4.389141,0.406250
17350,-0.926568,0.045725,0.003591,4.390542,0.406250
17400,-0.918825,0.046630,0.003564,4.391990,0.406250
17450,-0.923180,0.045957,0.003528,4.393288,0.406250
17500,-0.919446,0.046249,0.003535,4.394683,0.406250
17500,0.037717,-1.275562
17550,-0.933017,0.045703,0.003608,4.395946,0.410156
17600,-0.936872,0.045901,0.003517,4.397318,0.410156
17650,-0.934894,0.045919,0.003599,4.398753,0.410156
17700,-0.927597,0.046139,0.003547,4.400148,0.410156
17750,-0.919698,0.046958,0.003547,4.401576,0.410156
17800,-0.920529,0.046779,0.003493,4.402979,0.410156
17850,-0.953121,0.044942,0.003500,4.404447,0.414062
17900,-0.934450,0.046132,0.003546,4.405867,0.414062
17950,-0.920453,0.047106,0.003553,4.407286,0.414062
18000,-0.955928,0.045448,0.003573,4.408597,0.414062
18000,0.037717,-1.275562
18050,-0.935697,0.046124,0.003503,4.409546,0.414062
18100,-0.922679,0.046760,0.003493,4.411000,0.414062
18150,-0.931395,0.046437,0.003579,4.412433,0.414062
18200,-0.940696,0.046677,0.003588,4.413883,0.417969
18250,-0.950038,0.045822,0.003559,4.415411,0.417969
18300,-0.924995,0.047327,0.003522,4.416822,0.417969
18350,-0.942001,0.046365,0.003544,4.418216,0.417969
18400,-0.956175,0.045733,0.003586,4.419673,0.417969
18450,-0.936175,0.046536,0.003512,4.421122,0.417969
18500,-0.926354,0.047091,0.003564,4.422532,0.421875
18500,0.037717,-1.275562
18550,-0.942434,0.046856,0.003532,4.423897,0.421875
18600,-0.938799,0.046791,0.003540,4.425350,0.421875
18650,-0.945392,0.046644,0.004951,4.426782,0.421875
18700,-0.942440,0.046847,0.003591,4.428270,0.421875
18750,-0.954402,0.046048,0.003551,4.429729,0.421875
18800,-0.949870,0.046474,0.003616,4.431012,0.421875
18850,-0.957258,0.046637,0.003589,4.432419,0.425781
18900,-0.959196,0.046406,0.003501,4.433924,0.425781
18950,-0.947051,0.047190,0.003538,4.435416,0.425781
19000,-0.946454,0.046974,0.003533,4.436881,0.425781
19000,0.037717,-1.275562
19050,-0.958650,0.045891,0.003546,4.438174,0.425781
19100,-0.938696,0.047506,0.003598,4.439629,0.425781
19150,-0.969941,0.045439,0.003531,4.441053,0.429688
19200,-0.973519,0.046117,0.003540,4.442539,0.429688
19250,-0.983112,0.045812,0.003564,4.443972,0.429688
19300,-0.958269,0.046562,0.003459,4.445448,0.429688
19350,-0.944151,0.047593,0.003543,4.446918,0.429688
19400,-0.956245,0.046628,0.003504,4.448351,0.429688
19450,-0.958099,0.046591,0.003522,4.449795,0.429688
19500,-0.975923,0.045970,0.003576,4.451195,0.433594
19500,0.037717,-1.275562
19550,-0.957336,0.046952,0.003561,4.452569,0.433594
19600,-0.967144,0.046744,0.003577,4.454032,0.433594
19650,-0.969761,0.046505,0.003588,4.455537,0.433594
19700,-0.953502,0.047532,0.003566,4.456963,0.433594
19750,-0.981372,0.045916,0.003565,4.458410,0.433594
19800,-0.980205,0.046251,0.003509,4.459868,0.437500
19850,-1.007494,0.044893,0.003595,4.461329,0.437500
19900,-0.984664,0.046473,0.003528,4.462858,0.437500
19950,-0.983438,0.046483,0.003535,4.464345,0.437500
20000,-0.956380,0.047388,0.003569,4.465863,0.437500
20000,0.037717,-1.275562
20050,-0.986528,0.046027,0.003580,4.466970,0.437500
20100,-0.975361,0.046780,0.003867,4.468343,0.437500
20150,-0.993239,0.046102,0.003426,4.469818,0.441406
20200,-0.984721,0.046787,0.003556,4.471278,0.441406
20250,-0.982793,0.046236,0.003498,4.472737,0.441406
20300,-1.003394,0.046079,0.003537,4.474200,0.441406
20350,-0.992943,0.046006,0.003474,4.475647,0.441406
20400,-1.003646,0.045788,0.003587,4.477098,0.441406
20450,-0.994838,0.046247,0.003581,4.478537,0.445312
20500,-1.008688,0.045440,0.003521,4.479998,0.445312
20500,0.037717,-1.275562
20550,-1.002578,0.046255,0.003514,4.481419,0.445312
20600,-0.994978,0.046480,0.003493,4.482905,0.445312
20650,-0.972960,0.047562,0.003601,4.484381,0.445312
20700,-1.007578,0.046090,0.004335,4.485901,0.445312
