step,loss,real_crps,synth_ed,steps/s
21300,-0.201434,0.045898,0.004418,4.529756
21350,-0.200671,0.046118,0.004456,4.529908
21400,-0.198445,0.046977,0.004497,4.530061
21450,-0.198410,0.046901,0.004519,4.530161
21500,-0.199226,0.046076,0.004439,4.530247
21500,0.037572,-1.299469
21550,-0.198087,0.046460,0.004484,4.530263
21600,-0.198278,0.046843,0.004427,4.530419
21650,-0.198122,0.046446,0.004449,4.530526
21700,-0.198818,0.046348,0.004458,4.530600
21750,-0.198534,0.046548,0.004515,4.530729
21800,-0.197403,0.046807,0.004470,4.530862
21850,-0.198027,0.046105,0.004531,4.531006
21900,-0.199202,0.046093,0.004424,4.531129
21950,-0.201860,0.045916,0.004431,4.531257
22000,-0.199658,0.046187,0.004541,4.531371
22000,0.037582,-1.299469
22050,-0.203499,0.045107,0.004471,4.531109
22100,-0.197964,0.046574,0.004448,4.531269
22150,-0.198039,0.046917,0.004480,4.531388
22200,-0.202869,0.045175,0.004449,4.531510
22250,-0.201987,0.045225,0.004495,4.531647
22300,-0.202048,0.045647,0.004473,4.531784
22350,-0.198508,0.046931,0.004402,4.531932
22400,-0.197915,0.046708,0.004502,4.532060
22450,-0.193617,0.047716,0.004434,4.532125
22500,-0.201269,0.045770,0.004497,4.532237
22500,0.037571,-1.299469
22550,-0.198927,0.046954,0.004465,4.532257
22600,-0.200215,0.046445,0.004480,4.532360
22650,-0.202804,0.045238,0.004476,4.532524
22700,-0.199398,0.046365,0.004487,4.532611
22750,-0.201301,0.045665,0.004364,4.532812
22800,-0.200560,0.046063,0.004546,4.532904
22850,-0.197793,0.046703,0.004484,4.533041
22900,-0.198557,0.046750,0.004434,4.533170
22950,-0.195306,0.046920,0.004477,4.533294
23000,-0.201908,0.045913,0.004407,4.533419
23000,0.037572,-1.299469
23050,-0.197223,0.046831,0.004556,4.533456
23100,-0.199039,0.046599,0.004543,4.533547
23150,-0.204199,0.045473,0.004493,4.533654
23200,-0.197646,0.046976,0.004407,4.533814
23250,-0.197880,0.046476,0.004411,4.533949
23300,-0.195668,0.046961,0.004412,4.534053
23350,-0.197598,0.047080,0.004539,4.534164
23400,-0.200777,0.046243,0.004441,4.534284
23450,-0.197691,0.046544,0.004521,4.534396
23500,-0.203832,0.045302,0.004523,4.534491
23500,0.037589,-1.299469
23550,-0.199569,0.046057,0.004446,4.534526
23600,-0.196230,0.047331,0.004516,4.534636
23650,-0.201426,0.045937,0.004451,4.534801
23700,-0.197128,0.046811,0.004469,4.534952
23750,-0.199182,0.046398,0.004461,4.535106
23800,-0.204356,0.045127,0.004524,4.535210
23850,-0.195373,0.047266,0.004458,4.535381
23900,-0.200171,0.046084,0.004415,4.535413
23950,-0.200649,0.046453,0.004428,4.535550
24000,-0.194403,0.047783,0.004475,4.535648
24000,0.037593,-1.299469
24050,-0.198393,0.046998,0.004457,4.535506
24100,-0.197915,0.046759,0.004500,4.535564
24150,-0.198051,0.046830,0.004495,4.535670
24200,-0.197060,0.047211,0.004442,4.535806
24250,-0.197029,0.047358,0.004554,4.535905
24300,-0.199039,0.046365,0.004398,4.535989
24350,-0.204378,0.044809,0.004494,4.536158
24400,-0.204711,0.044878,0.004482,4.536262
24450,-0.200401,0.046074,0.004422,4.536380
