step,epoch,lr,loss,loss_main,loss_aux,ed,nll,loss_sde,vol_mse,sde_acc,mean_mu,mean_sigma,eff_k,grad_norm,steps/s,eta_min,mean_nu,mean_mse,pred_mean_std
6400,1,0.000290,-7.702173,-1.532155,0.292954,0.034150,-1.552449,0.215172,0.077782,0.928945,0.001982,0.042956,1.000000,332.511447,19.460261,29.204815,3.070821,0.010728,0.003342
6500,1,0.000290,-7.896142,-1.525227,0.344586,0.034271,-1.545788,0.224750,0.119836,0.927500,0.003447,0.042575,1.000000,167.613477,19.467080,29.108971,3.050492,0.011418,0.004090
6600,1,0.000290,-7.760055,-1.540637,0.321231,0.033767,-1.560612,0.224989,0.096242,0.926367,0.003087,0.043536,1.000000,503.377343,19.473606,29.013631,3.227217,0.010305,0.005749
6700,1,0.000289,-7.559578,-1.532044,0.298234,0.033720,-1.551481,0.216189,0.082045,0.930352,0.003073,0.043206,1.000000,145.639424,19.479879,28.918729,3.208896,0.008590,0.005408
6800,1,0.000289,-7.662789,-1.524820,0.322166,0.034195,-1.544940,0.210793,0.111373,0.926836,0.003347,0.043180,1.000000,227.405585,19.486109,28.823952,3.048575,0.010076,0.005820
6900,1,0.000288,-6.848542,-1.542075,0.294403,0.033741,-1.561827,0.202496,0.091906,0.932070,0.002556,0.042644,1.000000,65.756238,19.492186,28.729461,3.212663,0.009604,0.004389
7000,1,0.000288,-6.207432,-1.533100,0.285753,0.034225,-1.553226,0.194545,0.091207,0.935312,0.002670,0.043268,1.000000,598.939915,19.497999,28.635417,3.101209,0.010043,0.004789
7100,1,0.000287,-6.598365,-1.528709,0.429921,0.034272,-1.548999,0.188515,0.241406,0.936094,0.002834,0.043163,1.000000,26.435024,19.503943,28.541238,3.135652,0.010511,0.005481
7200,1,0.000287,-5.194518,-1.528414,0.334893,0.034174,-1.548531,0.200724,0.134168,0.931250,0.002425,0.043592,1.000000,65.672885,19.509778,28.447275,3.149162,0.010100,0.004485
7300,1,0.000286,-6.046462,-1.526325,0.265244,0.034378,-1.546513,0.191728,0.073515,0.936016,0.002446,0.044344,1.000000,135.103346,19.515159,28.354027,3.247392,0.009995,0.004148
7400,1,0.000286,-7.315557,-1.539031,0.372851,0.033974,-1.559265,0.190286,0.182565,0.935898,0.002518,0.042973,1.000000,168.649110,19.519884,28.261779,3.161244,0.010822,0.004816
7500,1,0.000285,-5.239848,-1.531466,0.295829,0.034246,-1.551682,0.186542,0.109287,0.936016,0.002570,0.044154,1.000000,34.332409,19.525138,28.168815,3.207698,0.010310,0.004814
7600,1,0.000285,-6.436667,-1.542074,0.332995,0.033930,-1.562243,0.217541,0.115454,0.929688,0.002934,0.042321,1.000000,155.851395,19.530337,28.075979,3.207888,0.010679,0.005495
7700,1,0.000284,-5.588448,-1.538197,0.315094,0.033883,-1.558127,0.196780,0.118314,0.933047,0.002831,0.043673,1.000000,306.321839,19.535369,27.983432,3.221638,0.009963,0.006294
7800,1,0.000284,-5.474092,-1.531246,0.330988,0.034044,-1.551205,0.201400,0.129588,0.931367,0.002221,0.044474,1.000000,169.918461,19.540253,27.891144,3.289057,0.009789,0.004043
7900,1,0.000283,-6.724643,-1.529548,0.356119,0.034090,-1.549401,0.195603,0.160516,0.935312,0.003440,0.043139,1.000000,143.089527,19.545081,27.798981,3.125984,0.009360,0.004865
8000,1,0.000282,-8.148570,-1.532955,0.294879,0.034113,-1.552918,0.201866,0.093013,0.932891,0.003400,0.043876,1.000000,547.412849,19.549629,27.707260,3.210288,0.009690,0.005334
8100,1,0.000282,-7.957491,-1.547168,0.274737,0.033442,-1.566562,0.195511,0.079226,0.934883,0.002451,0.042701,1.000000,183.964100,19.518601,27.665917,3.208177,0.008910,0.004958
8200,2,0.000281,-7.846217,-1.531254,0.298471,0.033998,-1.551300,0.199208,0.099263,0.932773,0.002700,0.043592,1.000000,418.047325,19.499751,27.607189,3.286694,0.010156,0.005172
