step,epoch,lr,loss,ed,nll,sde_acc,vol_mse,steps/s,eta_min
62700,15,0.000084,0.587293,0.003522,-0.783559,0.422695,0.001543,76.257718,37.517514
62800,15,0.000083,0.587045,0.003522,-0.793590,0.421406,0.001610,76.021831,37.612003
62900,15,0.000083,0.587677,0.003538,-0.775094,0.424844,0.001654,75.788119,37.705998
63000,15,0.000083,0.588600,0.003591,-0.780928,0.423164,0.001685,75.556148,37.799704
63100,15,0.000083,0.587713,0.003552,-0.789492,0.423789,0.001579,75.326400,37.892868
63200,15,0.000083,0.586971,0.003545,-0.784521,0.424492,0.001674,75.097098,37.986377
63300,15,0.000083,0.589250,0.003516,-0.787954,0.421289,0.002084,74.870226,38.079222
63400,15,0.000083,0.589119,0.003547,-0.782285,0.421836,0.001568,74.639435,38.174637
63500,15,0.000083,0.586925,0.003542,-0.780790,0.419453,0.001565,74.418240,38.265708
63600,15,0.000083,0.588291,0.003535,-0.781102,0.419883,0.001656,74.177183,38.367593
63700,15,0.000083,0.590426,0.003533,-0.782132,0.419180,0.001758,73.960384,38.457525
63800,15,0.000083,0.586481,0.003560,-0.779740,0.423906,0.001591,73.745370,38.547053
63900,15,0.000083,0.586129,0.003536,-0.788799,0.426563,0.001906,73.531485,38.636510
64000,15,0.000083,0.586944,0.003600,-0.779949,0.424375,0.001844,73.319800,38.725328
64000,-0.077682,0.002904,-0.805863,0.433594,0.003937
64100,15,0.000083,0.589351,0.003525,-0.782104,0.425156,0.001502,73.092248,38.823086
64200,15,0.000083,0.586768,0.003526,-0.784404,0.422852,0.001617,72.885383,38.910408
64300,15,0.000083,0.586570,0.003556,-0.777637,0.423984,0.001590,72.679862,38.997506
64400,15,0.000083,0.587090,0.003553,-0.784351,0.424023,0.001578,72.476723,39.083812
64500,15,0.000083,0.586664,0.003538,-0.783199,0.425508,0.001820,72.275063,39.169803
64600,15,0.000083,0.586771,0.003543,-0.786161,0.422461,0.001511,72.074049,39.255923
64700,15,0.000083,0.587271,0.003560,-0.788005,0.424922,0.001755,71.875442,39.341207
64800,15,0.000082,0.585237,0.003553,-0.794010,0.426289,0.001583,71.678738,39.425917
64900,15,0.000082,0.591051,0.003539,-0.783759,0.418281,0.001667,71.483552,39.510255
65000,15,0.000082,0.585278,0.003541,-0.781371,0.425781,0.001716,71.289691,39.594317
65100,15,0.000082,0.587063,0.003548,-0.783382,0.423633,0.001594,71.063792,39.696728
65200,15,0.000082,0.585629,0.003544,-0.794229,0.423828,0.001506,70.872665,39.780264
65300,15,0.000082,0.584804,0.003530,-0.780938,0.427187,0.001587,70.685216,39.862178
65400,15,0.000082,0.588940,0.003523,-0.788492,0.418008,0.001626,70.496510,39.945240
65500,16,0.000082,0.585816,0.003574,-0.776424,0.427148,0.001591,70.258419,40.056884
65600,16,0.000082,0.585597,0.003530,-0.782373,0.423320,0.001561,70.073445,40.138838
65700,16,0.000082,0.586239,0.003484,-0.781801,0.423516,0.001925,69.892223,40.219067
65800,16,0.000082,0.585778,0.003488,-0.780078,0.425703,0.001594,69.709116,40.300803
65900,16,0.000082,0.588852,0.003516,-0.788299,0.422969,0.001800,69.530411,40.380412
66000,16,0.000082,0.586995,0.003568,-0.783784,0.423828,0.001597,69.352669,40.459870
66000,-0.078811,0.003084,-0.818949,0.429688,0.004826
66100,16,0.000082,0.584577,0.003571,-0.791763,0.426016,0.001615,69.159000,40.549073
66200,16,0.000082,0.580510,0.003517,-0.790741,0.431680,0.001720,68.985051,40.627160
66300,16,0.000082,0.589957,0.003543,-0.776587,0.415234,0.001411,68.812117,40.705040
66400,16,0.000082,0.586020,0.003541,-0.793360,0.424297,0.001677,68.638193,40.783902
66500,16,0.000082,0.588062,0.003546,-0.784143,0.419297,0.001546,68.466361,40.861916
66600,16,0.000082,0.588493,0.003491,-0.781164,0.420508,0.001795,68.297730,40.938403
66700,16,0.000081,0.586946,0.003515,-0.788736,0.421133,0.001488,68.130282,41.014557
66800,16,0.000081,0.585616,0.003623,-0.789567,0.425273,0.001656,67.963815,41.090493
66900,16,0.000081,0.584676,0.003585,-0.787503,0.431133,0.001617,67.799001,41.165798
67000,16,0.000081,0.590508,0.003592,-0.780697,0.419648,0.001749,67.635898,41.240428
67100,16,0.000081,0.588319,0.003526,-0.777338,0.425195,0.001649,67.474345,41.314468
67200,16,0.000081,0.587543,0.003509,-0.800246,0.425703,0.001735,67.312947,41.388769
67300,16,0.000081,0.582361,0.003539,-0.793728,0.426289,0.001753,67.153279,41.462358
67400,16,0.000081,0.585581,0.003542,-0.794751,0.425039,0.001459,66.995389,41.535197
67500,16,0.000081,0.586569,0.003537,-0.787086,0.423047,0.001905,66.838187,41.607951
67600,16,0.000081,0.590964,0.003538,-0.783049,0.417227,0.001479,66.681889,41.680483
67700,16,0.000081,0.583835,0.003536,-0.779416,0.430430,0.001555,66.524046,41.754325
67800,16,0.000081,0.584813,0.003534,-0.783209,0.423516,0.001541,66.370721,41.825672
67900,16,0.000081,0.585583,0.003525,-0.776923,0.423906,0.001565,66.218584,41.896597
68000,16,0.000081,0.590169,0.003501,-0.784367,0.422266,0.001838,66.066721,41.967675
68000,-0.078225,0.002999,-0.812238,0.436523,0.003476
68100,16,0.000081,0.590138,0.003515,-0.777734,0.418477,0.001589,65.903052,42.046611
68200,16,0.000081,0.585013,0.003525,-0.785222,0.424805,0.001586,65.753641,42.116806
68300,16,0.000081,0.585259,0.003536,-0.786123,0.423711,0.001673,65.605165,42.186719
