step,epoch,lr,loss,loss_main,loss_aux,ed,nll,loss_sde,vol_mse,sde_acc,mean_mu,mean_sigma,eff_k,grad_norm,steps/s,eta_min
12400,3,0.000294,0.726397,-0.065227,1.583247,0.006350,-0.715768,1.473584,0.109662,0.316289,0.053992,0.103739,4.725711,3.383383,7.272456,240.129803
12500,3,0.000294,0.731181,-0.064267,1.590895,0.006434,-0.707002,1.476099,0.114796,0.305742,0.058928,0.101489,4.709263,4.584718,7.271832,239.921188
12600,3,0.000294,0.726294,-0.065021,1.582629,0.006339,-0.713598,1.476369,0.106259,0.311992,0.056614,0.102800,4.726091,3.119651,7.274486,239.604558
12700,3,0.000294,0.728823,-0.065003,1.587652,0.006380,-0.713827,1.476087,0.111565,0.317148,0.054172,0.105155,4.686520,3.640494,7.277112,239.289058
12800,3,0.000294,0.727061,-0.064872,1.583865,0.006228,-0.710999,1.478962,0.104903,0.317266,0.058806,0.100657,4.709341,3.351987,7.275631,239.108689
12900,3,0.000293,0.725819,-0.065596,1.582830,0.006281,-0.718768,1.478555,0.104274,0.315508,0.053589,0.101825,4.752107,5.969211,7.275520,238.883275
13000,3,0.000293,0.728709,-0.064812,1.587043,0.006342,-0.711541,1.477547,0.109496,0.318203,0.055793,0.100366,4.740184,3.131217,7.270681,238.813027
13100,3,0.000293,0.724371,-0.065781,1.580304,0.006181,-0.719624,1.478682,0.101622,0.320625,0.057742,0.102134,4.711018,3.701169,7.272162,238.535193
13200,3,0.000293,0.721722,-0.065728,1.574900,0.006056,-0.717839,1.474385,0.100514,0.322969,0.056821,0.102028,4.721907,2.990285,7.274607,238.225914
13300,3,0.000293,0.720054,-0.065707,1.571521,0.006209,-0.719157,1.473103,0.098418,0.321758,0.056289,0.100498,4.749008,4.740049,7.273745,238.025010
13400,3,0.000293,0.721207,-0.065996,1.574406,0.006042,-0.720376,1.477691,0.096715,0.323242,0.052546,0.104393,4.740232,7.408374,7.275710,237.731657
13500,3,0.000293,0.716670,-0.066031,1.565403,0.005890,-0.719208,1.472934,0.092469,0.325937,0.055588,0.100654,4.748878,9.592012,7.275273,237.516870
13600,3,0.000293,0.710940,-0.065863,1.553607,0.005793,-0.716563,1.467104,0.086502,0.333477,0.052075,0.102429,4.767370,10.250257,7.275687,237.274284
13700,3,0.000292,0.713631,-0.065997,1.559257,0.005784,-0.717812,1.475320,0.083937,0.326211,0.049229,0.104670,4.796566,10.026842,7.272933,237.134970
13800,3,0.000292,0.722259,-0.066475,1.577468,0.006190,-0.726654,1.475555,0.101913,0.323906,0.048699,0.099440,4.777773,7.381958,7.272119,236.932301
13900,3,0.000292,0.722958,-0.065387,1.576689,0.006182,-0.715691,1.476706,0.099983,0.320898,0.049927,0.101757,4.750674,5.504736,7.271545,236.721821
14000,3,0.000292,0.719068,-0.066166,1.570468,0.006080,-0.722466,1.472045,0.098423,0.321875,0.051885,0.102007,4.746152,4.127121,7.272374,236.465654
14000,0.004370,0.005886,0.007296,-0.068890,0.005853,-0.747432,0.066782,0.308105,0.139334,4.772672,0.054896,0.114759
14100,3,0.000292,0.726280,-0.065254,1.583069,0.006105,-0.713591,1.481390,0.101678,0.319453,0.051548,0.100907,4.754264,5.676392,7.272959,236.217463
14200,3,0.000292,0.721506,-0.066645,1.576303,0.006117,-0.727624,1.474254,0.102049,0.321523,0.052334,0.099695,4.754171,5.928118,7.272269,236.010720
14300,3,0.000292,0.720595,-0.066447,1.574084,0.006063,-0.725095,1.475368,0.098716,0.319375,0.051416,0.102142,4.752254,7.063207,7.275649,235.671999
14400,3,0.000292,0.723204,-0.065940,1.578288,0.006199,-0.721385,1.476072,0.102216,0.318242,0.048572,0.102612,4.768016,11.322432,7.274670,235.474615
14500,3,0.000291,0.725492,-0.064937,1.580860,0.006386,-0.713239,1.473975,0.106885,0.314531,0.049731,0.102452,4.787392,9.847993,7.276690,235.180179
14600,3,0.000291,0.729898,-0.064026,1.587849,0.006530,-0.705567,1.476693,0.111156,0.313984,0.053762,0.100146,4.774444,6.914037,7.274528,235.020970
14700,3,0.000291,0.733719,-0.064561,1.596560,0.006482,-0.710431,1.480867,0.115693,0.307539,0.055574,0.099281,4.806826,4.776485,7.273007,234.840963
14800,3,0.000291,0.726480,-0.064717,1.582394,0.006413,-0.711305,1.471362,0.111033,0.310234,0.052812,0.100274,4.814704,5.495946,7.271863,234.648719
14900,3,0.000291,0.734581,-0.064996,1.599154,0.006665,-0.716608,1.484495,0.114659,0.309180,0.051143,0.100361,4.810047,9.887572,7.274236,234.343059
15000,3,0.000291,0.729419,-0.066029,1.590895,0.006429,-0.724576,1.476707,0.114188,0.311602,0.052305,0.098828,4.792887,3.904843,7.273416,234.140340
15100,3,0.000291,0.737957,-0.064156,1.604225,0.006588,-0.707442,1.485062,0.119163,0.300352,0.051013,0.098906,4.784756,6.501841,7.273481,233.909098
15200,3,0.000290,0.735932,-0.064044,1.599953,0.006643,-0.706870,1.479203,0.120750,0.301836,0.049790,0.096338,4.799397,6.877948,7.273621,233.675455
15300,3,0.000290,0.734468,-0.063548,1.596032,0.006537,-0.700854,1.478139,0.117893,0.306523,0.046719,0.101824,4.824312,6.132517,7.274040,233.432863
15400,3,0.000290,0.732094,-0.064809,1.593806,0.006462,-0.712706,1.477261,0.116545,0.309609,0.048135,0.098203,4.810958,7.910362,7.276290,233.131619
15500,3,0.000290,0.733567,-0.065413,1.597961,0.006508,-0.719209,1.477403,0.120558,0.308203,0.049822,0.096404,4.799425,3.749769,7.275927,232.914185
15600,3,0.000290,0.733507,-0.064910,1.596834,0.006612,-0.715214,1.475902,0.120932,0.302344,0.049912,0.097395,4.795291,2.372473,7.277303,232.641117
15700,4,0.000290,0.737182,-0.064396,1.603157,0.006614,-0.710102,1.480961,0.122196,0.301445,0.050881,0.098472,4.807325,2.026161,7.271017,232.613035
15800,4,0.000290,0.736592,-0.064036,1.601255,0.006599,-0.706350,1.480840,0.120415,0.303203,0.051401,0.100040,4.789411,2.334007,7.271351,232.373133
15900,4,0.000289,0.732542,-0.064875,1.594835,0.006545,-0.714200,1.475194,0.119641,0.307734,0.047188,0.099249,4.813420,3.139851,7.271045,232.153697
16000,4,0.000289,0.733795,-0.065205,1.598001,0.006584,-0.717897,1.478391,0.119610,0.308164,0.049509,0.098515,4.803477,4.799550,7.270539,231.940627
16000,0.004670,0.006394,0.007703,-0.063291,0.006207,-0.694980,0.069465,0.309082,0.160101,4.832764,0.048617,0.097899
