step,epoch,lr,loss,loss_main,loss_aux,ed,nll,loss_sde,vol_mse,sde_acc,mean_mu,mean_sigma,eff_k,grad_norm,steps/s,eta_min
9700,2,0.000297,2.478750,-0.315039,1.451655,0.064207,-0.758798,1.432588,0.019067,0.354023,0.110698,0.128687,2.065446,39.230190,4.376935,409.266607
9800,2,0.000297,2.301875,-0.318789,1.449698,0.064204,-0.766087,1.433571,0.016127,0.355273,0.111279,0.126786,2.072226,59.355485,4.377285,408.853105
9900,2,0.000297,2.294062,-0.320312,1.455685,0.064106,-0.769011,1.438849,0.016836,0.348906,0.115522,0.129430,2.006779,162.000787,4.377652,408.438113
10000,2,0.000296,2.430938,-0.317695,1.454094,0.064067,-0.763528,1.434888,0.019207,0.354531,0.121650,0.127127,2.068965,48.070328,4.377933,408.031243
10000,0.002660,0.003562,0.004694,-0.351135,0.003642,-0.709554,0.064908,0.342285,0.017250,1.982583,0.121140,0.113876
10100,2,0.000296,2.287344,-0.316592,1.449050,0.064307,-0.762032,1.430420,0.018630,0.355977,0.130713,0.123750,2.027908,28.885408,4.376775,407.758342
10200,2,0.000296,2.255781,-0.315176,1.459683,0.064258,-0.759159,1.440179,0.019504,0.347695,0.115698,0.127960,2.048780,50.498163,4.376848,407.370751
10300,2,0.000296,2.372344,-0.318496,1.450705,0.064131,-0.765356,1.431746,0.018959,0.354180,0.110859,0.127692,1.973788,39.313929,4.377050,406.971180
10400,2,0.000296,2.235000,-0.315654,1.446690,0.064163,-0.759796,1.428531,0.018159,0.350586,0.130459,0.126810,2.021943,48.979473,4.377152,406.580970
10500,2,0.000296,2.293125,-0.317148,1.446271,0.063960,-0.762128,1.429573,0.016698,0.357461,0.121050,0.126251,2.032096,18.234276,4.377338,406.182894
10600,2,0.000296,2.250469,-0.319434,1.447566,0.063999,-0.767154,1.430049,0.017517,0.353633,0.113770,0.123579,2.099617,50.787508,4.377636,405.774608
10700,2,0.000296,2.193125,-0.313018,1.442785,0.064131,-0.754306,1.426190,0.016595,0.358047,0.102798,0.125648,2.137269,34.803773,4.377574,405.399604
10800,2,0.000296,2.267969,-0.314238,1.450668,0.064209,-0.756835,1.432920,0.017748,0.351055,0.106328,0.125696,2.082833,143.104543,4.377763,405.001376
10900,2,0.000296,2.376250,-0.310332,1.435575,0.064180,-0.749295,1.419711,0.015864,0.358164,0.111157,0.125385,2.108701,122.469840,4.377595,404.636157
11000,2,0.000296,2.293594,-0.314941,1.451040,0.064170,-0.758153,1.434854,0.016186,0.355000,0.103774,0.128522,2.118648,38.290699,4.377828,404.233941
11100,2,0.000295,2.040078,-0.317266,1.445292,0.063997,-0.762533,1.428215,0.017077,0.356094,0.112173,0.128715,2.202934,49.501680,4.377999,403.837465
11200,2,0.000295,2.043359,-0.316914,1.451711,0.063994,-0.761907,1.435303,0.016408,0.347539,0.109585,0.128754,2.103530,37.700588,4.378211,403.437253
11300,2,0.000295,2.028594,-0.312734,1.445968,0.064338,-0.754221,1.429601,0.016367,0.359414,0.112739,0.129778,2.156795,35.291718,4.378163,403.060937
11400,2,0.000295,2.031172,-0.317109,1.452516,0.064004,-0.762595,1.433818,0.018698,0.354297,0.107720,0.131571,2.101060,95.707093,4.378346,402.663478
11500,2,0.000295,2.017266,-0.315508,1.448455,0.064253,-0.759657,1.429286,0.019169,0.357344,0.105684,0.131122,2.162679,222.965667,4.378468,402.271573
11600,2,0.000295,2.496094,-0.313408,1.453531,0.064268,-0.755437,1.433315,0.020216,0.355938,0.122671,0.126004,2.212961,149.727103,4.378531,401.885211
