step,epoch,lr,loss,loss_main,loss_aux,ed,nll,loss_sde,vol_mse,sde_acc,mean_mu,mean_sigma,eff_k,grad_norm,steps/s,eta_min,mean_nu
6000,0.006023,0.006980,0.008536,-0.056600,0.007196,-0.696247,0.070422,0.232910,0.137090,2.792576,0.033548,0.072340,21.860446
6100,1,0.000299,0.239116,-0.053521,1.950914,0.007735,-0.671308,1.843629,0.107285,0.232539,0.043508,0.076862,2.728412,0.433097,4.979139,371.817994,21.776984
6200,1,0.000299,0.237485,-0.055802,1.955244,0.007142,-0.687712,1.846167,0.109077,0.234609,0.051750,0.079468,2.621360,0.433967,4.984569,371.078526,21.780826
6300,1,0.000299,0.236539,-0.055387,1.946172,0.007323,-0.685375,1.839931,0.106241,0.237305,0.050366,0.075979,2.266061,0.514725,4.990005,370.340311,21.660863
6400,1,0.000299,0.238796,-0.054391,1.954582,0.007328,-0.676365,1.845542,0.109039,0.233359,0.062568,0.078606,1.961394,0.627708,4.996948,369.492224,21.557332
6500,1,0.000299,0.242277,-0.053250,1.970175,0.007497,-0.666573,1.847898,0.122278,0.229531,0.075435,0.079134,1.805522,0.801105,5.001851,368.796824,21.546461
6600,1,0.000299,0.241986,-0.053276,1.968411,0.007264,-0.664878,1.849581,0.118830,0.220000,0.074014,0.079586,1.685774,0.693642,5.007398,368.055414,21.565002
6700,1,0.000299,0.241454,-0.054749,1.974689,0.007227,-0.678047,1.851475,0.123214,0.216719,0.067871,0.080016,1.697126,0.903485,5.015070,367.160030,21.568995
6800,1,0.000299,0.239225,-0.056696,1.972804,0.006790,-0.692518,1.848494,0.124311,0.220000,0.061880,0.078827,1.653764,0.684583,5.019640,366.493750,21.626401
6900,1,0.000299,0.240113,-0.055266,1.969196,0.007140,-0.682419,1.846903,0.122292,0.223164,0.063757,0.084153,1.636552,0.714738,5.025069,365.766097,21.590132
7000,1,0.000299,0.243007,-0.053056,1.973754,0.007729,-0.666770,1.850622,0.123132,0.217969,0.065107,0.078233,1.632145,0.783226,5.030438,365.044416,21.586565
7100,1,0.000299,0.243268,-0.052440,1.971384,0.007798,-0.661259,1.848454,0.122930,0.225273,0.061724,0.080210,1.604848,0.626873,5.035644,364.336023,21.593491
