step,epoch,lr,loss,loss_main,loss_aux,ed,nll,loss_sde,vol_mse,sde_acc,mean_mu,mean_sigma,eff_k,grad_norm,steps/s,eta_min
7300,1,0.000298,0.375977,-0.320977,1.394018,0.064043,-0.769902,1.387595,0.006424,0.377852,0.141631,0.123783,1.659952,1.397889,4.589805,399.000287
7400,1,0.000298,0.371035,-0.321152,1.384914,0.064255,-0.770925,1.378054,0.006860,0.386602,0.130552,0.129121,1.701898,1.470107,4.589851,398.633164
7500,1,0.000298,0.375664,-0.320977,1.393141,0.064033,-0.770216,1.386513,0.006628,0.377812,0.127803,0.131443,1.683597,1.552321,4.590204,398.239373
7600,1,0.000298,0.367656,-0.324297,1.383542,0.064121,-0.776921,1.377348,0.006195,0.387383,0.134771,0.127378,1.656435,1.425552,4.590579,397.843752
7700,1,0.000298,0.369473,-0.323691,1.386761,0.064165,-0.775326,1.379522,0.007240,0.387500,0.134956,0.122946,1.710638,1.629286,4.590602,397.478734
7800,1,0.000298,0.368652,-0.324473,1.386333,0.063970,-0.776872,1.380373,0.005960,0.383164,0.138867,0.122927,1.746359,1.448994,4.590711,397.106283
7900,2,0.000298,0.376211,-0.318086,1.388911,0.064150,-0.764447,1.383275,0.005636,0.383906,0.140234,0.128405,1.732788,1.354807,4.589020,396.889401
8000,2,0.000298,0.380215,-0.315254,1.391101,0.064229,-0.759189,1.384970,0.006131,0.383477,0.123091,0.128394,1.748987,1.476297,4.589609,396.475303
8000,0.002389,0.003317,0.004045,-0.385785,0.003316,-0.778202,0.066740,0.353516,0.005025,1.708353,0.120438,0.122869
8100,2,0.000298,0.377012,-0.316973,1.388546,0.064167,-0.762200,1.382695,0.005851,0.380195,0.129756,0.125497,1.773732,1.412973,4.589336,396.135739
8200,2,0.000298,0.377422,-0.314609,1.383856,0.064038,-0.756991,1.377750,0.006106,0.387148,0.135259,0.127144,1.749565,1.459418,4.589286,395.776899
8300,2,0.000298,0.367344,-0.323242,1.381229,0.063953,-0.774563,1.375812,0.005417,0.387188,0.128750,0.126510,1.775221,1.380103,4.589724,395.375964
