step,epoch,lr,loss,loss_main,loss_aux,ed,nll,loss_sde,vol_mse,sde_acc,mean_mu,mean_sigma,eff_k,grad_norm,steps/s,eta_min
12300,3,0.000294,2.029375,-0.308926,1.465690,0.064272,-0.746475,1.441995,0.023694,0.342266,0.069937,0.130569,3.729290,144.726857,4.607244,379.402522
12400,3,0.000294,2.155000,-0.307070,1.464261,0.064312,-0.742941,1.441090,0.023171,0.349727,0.068611,0.127193,3.714406,37.571445,4.607636,379.008556
12500,3,0.000294,2.088516,-0.308437,1.464309,0.064375,-0.745558,1.439480,0.024829,0.348750,0.073809,0.127938,3.742231,105.565376,4.608022,378.615107
12600,3,0.000294,2.195781,-0.319160,1.471658,0.064351,-0.766897,1.445619,0.026039,0.345039,0.064917,0.127909,3.747521,124.613912,4.608249,378.234794
12700,3,0.000294,2.044062,-0.311904,1.477745,0.064326,-0.752133,1.450500,0.027245,0.341172,0.061499,0.131064,3.758790,64.484588,4.608703,377.835842
12800,3,0.000294,2.000156,-0.313984,1.473969,0.064385,-0.756687,1.450875,0.023094,0.337969,0.068879,0.127164,3.741359,57.244467,4.609205,377.433156
12900,3,0.000293,1.980781,-0.306875,1.478740,0.064321,-0.742366,1.452815,0.025924,0.338516,0.066045,0.124320,3.754556,122.665583,4.609543,377.043921
13000,3,0.000293,2.004766,-0.307432,1.476551,0.064419,-0.743911,1.450476,0.026075,0.344766,0.063618,0.130332,3.772873,86.110271,4.609852,376.657085
13100,3,0.000293,1.958672,-0.310488,1.470450,0.064402,-0.749609,1.444553,0.025898,0.346992,0.068064,0.130041,3.769529,85.877530,4.610304,376.258639
13200,3,0.000293,2.025391,-0.313896,1.469762,0.064219,-0.756234,1.443417,0.026345,0.347305,0.073223,0.127065,3.747160,60.111892,4.610793,375.857226
13300,3,0.000293,1.986484,-0.309736,1.466114,0.064395,-0.748417,1.440077,0.026036,0.347695,0.068799,0.132350,3.750988,48.068024,4.611260,375.457768
13400,3,0.000293,1.947969,-0.308672,1.472259,0.064297,-0.745944,1.446476,0.025783,0.344844,0.067983,0.130908,3.786031,93.590260,4.611725,375.058497
13500,3,0.000293,1.910703,-0.310332,1.466271,0.064326,-0.749580,1.440730,0.025541,0.348945,0.075271,0.126062,3.747539,89.829064,4.611921,374.681206
13600,3,0.000293,1.958438,-0.311201,1.471065,0.064270,-0.751079,1.441896,0.029168,0.348945,0.070125,0.131087,3.762137,60.500193,4.612284,374.290354
13700,3,0.000292,1.854766,-0.309551,1.471954,0.064312,-0.747693,1.444447,0.027507,0.349531,0.069531,0.130652,3.768739,80.763151,4.612467,373.914170
13800,3,0.000292,1.861719,-0.316367,1.468673,0.064233,-0.761234,1.442367,0.026306,0.347187,0.063279,0.128920,3.757435,401.223465,4.612818,373.524418
13900,3,0.000292,1.835000,-0.315801,1.467707,0.064023,-0.759667,1.444228,0.023480,0.350586,0.069373,0.128222,3.785058,73.239978,4.613005,373.147949
14000,3,0.000292,1.870781,-0.308613,1.467822,0.064395,-0.746328,1.442265,0.025557,0.353984,0.071060,0.128981,3.803850,297.196200,4.613350,372.758737
14000,0.003044,0.004239,0.004973,-0.373586,0.004080,-0.755333,0.065476,0.337402,0.026817,3.819704,0.071971,0.123569
14100,3,0.000292,2.297813,-0.308437,1.482102,0.064331,-0.745652,1.453393,0.028710,0.337305,0.072397,0.128411,3.784508,107.405255,4.613367,372.396156
14200,3,0.000292,1.909609,-0.315430,1.470725,0.064192,-0.759205,1.444115,0.026610,0.346836,0.069905,0.128561,3.801753,213.782652,4.613698,372.008151
14300,3,0.000292,1.904297,-0.309346,1.466514,0.064253,-0.746992,1.444161,0.022353,0.343047,0.075537,0.129199,3.784697,53.199133,4.613887,371.631666
14400,3,0.000292,1.954922,-0.315898,1.461403,0.064097,-0.759935,1.440950,0.020453,0.348789,0.070835,0.124904,3.785221,34.031240,4.614218,371.243828
14500,3,0.000291,1.807656,-0.321055,1.458217,0.064009,-0.770163,1.437922,0.020295,0.346680,0.065510,0.123541,3.780619,54.695131,4.614390,370.868812
14600,3,0.000291,1.835000,-0.315781,1.458466,0.064292,-0.760202,1.438152,0.020314,0.357266,0.068782,0.128143,3.821489,1516.605937,4.614713,370.481652
14700,3,0.000291,1.653125,-0.314629,1.460180,0.064294,-0.757773,1.441654,0.018526,0.348984,0.072124,0.125679,3.770849,66.501544,4.614885,370.106733
14800,3,0.000291,1.649375,-0.318271,1.447132,0.064297,-0.765208,1.428631,0.018501,0.354805,0.070779,0.121846,3.801156,39.932782,4.615188,369.721274
14900,3,0.000291,1.696094,-0.318672,1.458404,0.064209,-0.766318,1.440141,0.018263,0.351680,0.068044,0.125658,3.781698,63.746206,4.615481,369.336714
15000,3,0.000291,1.750078,-0.316104,1.460380,0.064055,-0.760634,1.440166,0.020215,0.350078,0.077642,0.126241,3.762180,43.065821,4.615796,368.950435
15100,3,0.000291,1.618516,-0.315527,1.462086,0.064102,-0.759402,1.443816,0.018270,0.347148,0.076147,0.124713,3.772069,137.680764,4.615530,368.610609
15200,3,0.000290,1.641406,-0.311074,1.449683,0.064319,-0.750546,1.431154,0.018528,0.353906,0.073774,0.123357,3.781972,189.526050,4.615818,368.226558
15300,3,0.000290,1.700547,-0.316152,1.452091,0.064126,-0.760762,1.434375,0.017716,0.349922,0.073403,0.128732,3.772251,672.296657,4.616106,367.842520
15400,3,0.000290,1.535625,-0.319688,1.448031,0.064219,-0.767940,1.431048,0.016983,0.356133,0.071938,0.126504,3.770008,291.462730,4.616416,367.456787
15500,3,0.000290,1.558750,-0.312852,1.446868,0.064302,-0.754314,1.429632,0.017236,0.356523,0.076689,0.129357,3.763758,68.491498,4.616678,367.074908
15600,3,0.000290,1.520312,-0.316689,1.453982,0.064216,-0.761798,1.435181,0.018801,0.349766,0.070801,0.124043,3.776832,85.014223,4.617052,366.684191
15700,4,0.000290,1.587422,-0.313945,1.456175,0.064282,-0.756743,1.438510,0.017665,0.347383,0.073032,0.124181,3.765124,39.263507,4.616344,366.379369
15800,4,0.000290,1.503828,-0.314199,1.457365,0.064263,-0.756917,1.439545,0.017820,0.349375,0.073643,0.126107,3.771104,84.634752,4.616564,366.000900
15900,4,0.000289,1.465391,-0.309893,1.452017,0.064292,-0.748616,1.433598,0.018419,0.349297,0.077837,0.123059,3.763180,38.487630,4.616941,365.610030
16000,4,0.000289,1.441328,-0.314463,1.458701,0.064155,-0.757138,1.436600,0.022101,0.351172,0.075261,0.122039,3.777995,45.035230,4.617307,365.220109
16000,0.002960,0.003825,0.004967,-0.381232,0.003868,-0.770200,0.066204,0.353516,0.020523,3.787014,0.074117,0.124886
