step,epoch,lr,loss,loss_main,loss_aux,ed,nll,loss_sde,vol_mse,sde_acc,mean_mu,mean_sigma,eff_k,grad_norm,steps/s,eta_min,mean_nu
10200,2,0.000296,0.766987,-0.070704,1.675381,0.004340,-0.750440,1.671498,0.003883,0.319453,0.043103,0.145142,3.148496,0.993804,11.318319,157.532229,62.175575
10300,2,0.000296,0.766902,-0.069739,1.673281,0.004343,-0.740812,1.669794,0.003487,0.316250,0.041614,0.143855,3.152967,0.941549,11.319349,157.370651,62.322431
10400,2,0.000296,0.764984,-0.070826,1.671620,0.004347,-0.751736,1.667968,0.003652,0.319961,0.042021,0.147355,3.165154,0.951019,11.325661,157.135788,62.452718
10500,2,0.000296,0.763394,-0.071168,1.669123,0.004345,-0.755126,1.665648,0.003475,0.317773,0.041533,0.142898,3.143370,0.894749,11.326178,156.981470,62.475684
10600,2,0.000296,0.773151,-0.070575,1.687453,0.004289,-0.748644,1.683426,0.004027,0.310469,0.045254,0.145875,3.167812,0.913740,11.330918,156.768707,62.527593
10700,2,0.000296,0.767986,-0.070929,1.677831,0.004267,-0.751966,1.674129,0.003701,0.319727,0.051243,0.142644,3.129868,0.922460,11.332688,156.597156,62.585129
10800,2,0.000296,0.761205,-0.070872,1.664155,0.004318,-0.751907,1.660371,0.003783,0.323789,0.045376,0.145524,3.165401,0.913133,11.334942,156.418969,62.392879
10900,2,0.000296,0.765000,-0.070846,1.671692,0.004277,-0.751236,1.668351,0.003341,0.324297,0.040297,0.147748,3.158793,0.924008,11.337979,156.230071,62.488150
11000,2,0.000296,0.763682,-0.070086,1.667536,0.004314,-0.743998,1.663692,0.003844,0.321094,0.039442,0.153894,3.170283,0.888725,11.339889,156.056794,62.465191
11100,2,0.000295,0.764118,-0.070568,1.669372,0.004364,-0.749314,1.665702,0.003670,0.322773,0.036027,0.148203,3.180662,0.924828,11.337875,155.937511,62.570480
11200,2,0.000295,0.763753,-0.070210,1.667924,0.004332,-0.745421,1.664688,0.003237,0.319102,0.037123,0.151271,3.182399,0.911968,11.337532,155.795225,62.762378
11300,2,0.000295,0.764098,-0.070381,1.668958,0.004325,-0.747057,1.665413,0.003545,0.323867,0.040881,0.147948,3.181776,0.893203,11.338589,155.633703,63.052598
11400,2,0.000295,0.767888,-0.070237,1.676250,0.004317,-0.745540,1.672642,0.003607,0.313242,0.045920,0.146420,3.179025,0.920107,11.337950,155.495479,63.098929
11500,2,0.000295,0.766341,-0.070424,1.673530,0.004269,-0.746932,1.669714,0.003815,0.321562,0.044846,0.144363,3.170331,0.876813,11.339182,155.331600,63.263806
11600,2,0.000295,0.764389,-0.070152,1.669082,0.004326,-0.744780,1.665550,0.003532,0.320781,0.039333,0.151881,3.176128,0.869947,11.336077,155.227126,63.017375
11700,2,0.000295,0.764867,-0.071027,1.671788,0.004308,-0.753349,1.668369,0.003419,0.321250,0.037665,0.149817,3.212699,0.885893,11.338125,155.052096,63.331412
