step,epoch,lr,loss,loss_main,loss_aux,ed,nll,loss_sde,vol_mse,sde_acc,mean_mu,mean_sigma,eff_k,grad_norm,steps/s,eta_min,mean_nu
10100,1,0.000286,-2.523558,-1.933117,0.312961,0.024942,-1.945588,0.188213,0.055484,0.933086,0.002304,0.030667,1.000000,45.575658,23.381686,36.267702,3.329005
10200,1,0.000286,-2.513124,-1.942020,0.308874,0.025058,-1.954549,0.181175,0.058533,0.936367,0.002618,0.031194,1.000000,36.701852,23.385678,36.190241,3.193546
10300,1,0.000286,-2.485989,-1.948476,0.316782,0.024468,-1.960710,0.192223,0.055307,0.932383,0.002715,0.031142,1.000000,94.006401,23.390432,36.111631,3.222479
10400,1,0.000285,-2.559513,-1.929925,0.299465,0.025031,-1.942441,0.185967,0.044352,0.935547,0.002596,0.031901,1.000000,58.952657,23.393847,36.035116,3.442314
10500,1,0.000285,-2.486237,-1.931378,0.318808,0.025081,-1.943918,0.199354,0.050197,0.932187,0.002331,0.030920,1.000000,43.323365,23.397076,35.958909,3.509891
10600,1,0.000285,-2.627762,-1.949432,0.308628,0.024613,-1.961739,0.193649,0.045699,0.932422,0.001937,0.030419,1.000000,42.253572,23.403250,35.878208,3.348147
10700,1,0.000284,-2.679601,-1.957739,0.311008,0.024660,-1.970069,0.189998,0.051818,0.933945,0.002849,0.030284,1.000000,46.371359,23.408592,35.798821,3.467569
10800,1,0.000284,-2.639112,-1.938450,0.295438,0.025208,-1.951054,0.192645,0.033645,0.931719,0.002529,0.030966,1.000000,48.390792,23.412034,35.722370,3.413321
10900,1,0.000284,-2.716852,-1.942506,0.298487,0.024496,-1.954754,0.187149,0.042014,0.935039,0.002544,0.031254,1.000000,43.462136,23.415041,35.646602,3.232218
11000,1,0.000283,-2.738291,-1.945778,0.295654,0.025017,-1.958287,0.191514,0.034967,0.932734,0.002550,0.031441,1.000000,40.777303,23.418162,35.570683,3.387987
11100,1,0.000283,-2.686755,-1.949605,0.307249,0.024516,-1.961863,0.197002,0.041165,0.934219,0.002841,0.031189,1.000000,33.233424,23.420331,35.496225,3.297524
11200,1,0.000282,-2.735894,-1.955733,0.318543,0.024549,-1.968008,0.194839,0.054458,0.931680,0.002280,0.030492,1.000000,58.152933,23.419701,35.426015,3.436618
11300,1,0.000282,-2.800164,-1.945748,0.306238,0.024738,-1.958117,0.194509,0.042530,0.931484,0.002262,0.030798,1.000000,41.210695,23.419579,35.355033,3.181188
11400,1,0.000282,-2.803615,-1.943993,0.300704,0.024747,-1.956367,0.190682,0.040805,0.934531,0.002771,0.031562,1.000000,36.122809,23.419034,35.284689,3.569507
11500,1,0.000281,-2.807010,-1.949727,0.292981,0.024958,-1.962206,0.183356,0.040394,0.935742,0.002255,0.031281,1.000000,48.320804,23.421206,35.210257,3.406022
11600,1,0.000281,-2.820783,-1.942096,0.314746,0.025031,-1.954611,0.193144,0.052385,0.932695,0.002443,0.030806,1.000000,46.882570,23.422030,35.137860,3.395542
11700,1,0.000280,-2.843060,-1.961135,0.296069,0.024065,-1.973167,0.195945,0.030947,0.932344,0.002525,0.031284,1.000000,47.198899,23.425080,35.062136,3.519724
11800,1,0.000280,-2.878643,-1.943651,0.294008,0.024773,-1.956038,0.184514,0.040257,0.935859,0.002615,0.031895,1.000000,44.002701,23.425576,34.990245,3.567176
11900,1,0.000280,-2.857207,-1.945597,0.286775,0.024915,-1.958055,0.178673,0.039026,0.937148,0.002407,0.031257,1.000000,40.290847,23.428839,34.914235,3.437367
12000,1,0.000279,-2.842819,-1.951033,0.284752,0.024919,-1.963493,0.185457,0.030199,0.934727,0.002877,0.031945,1.000000,34.518780,23.431946,34.838478,3.484818
12000,-1.748477,-1.763705,0.030456,0.008141,0.965820,0.520020,1.000000,0.002246,0.037139,2.900446
12100,1,0.000279,-2.854406,-1.966776,0.290907,0.024196,-1.978875,0.181465,0.040329,0.935352,0.002605,0.030400,1.000000,43.023836,23.415477,34.791804,3.423856
12200,2,0.000278,-2.740910,-1.942085,0.291151,0.024815,-1.954492,0.195988,0.025938,0.932578,0.002243,0.031489,1.000000,31.741708,23.400311,34.743128,3.418247
12300,2,0.000278,-2.946851,-1.948803,0.289217,0.024765,-1.961185,0.189482,0.030521,0.935234,0.002406,0.031323,1.000000,35.330482,23.404371,34.665889,3.371635
12400,2,0.000278,-2.961546,-1.958552,0.290527,0.024669,-1.970886,0.186901,0.034563,0.934688,0.002628,0.031142,1.000000,111.851502,23.406883,34.590965,3.580856
12500,2,0.000277,-2.945127,-1.932601,0.287826,0.025269,-1.945235,0.180070,0.038642,0.938008,0.002725,0.031462,1.000000,42.946543,23.409192,34.516356,3.516717
12600,2,0.000277,-2.990713,-1.953613,0.287622,0.024721,-1.965973,0.180906,0.037700,0.938203,0.002671,0.030940,1.000000,43.799933,23.412069,34.440926,3.201702
12700,2,0.000276,-2.826719,-1.947402,0.283606,0.024976,-1.959891,0.181710,0.032740,0.936875,0.002466,0.032128,1.000000,50.072093,23.415506,34.364693,3.457756
12800,2,0.000276,-2.993215,-1.939368,0.282599,0.025164,-1.951950,0.183992,0.029461,0.937734,0.002423,0.031378,1.000000,36.993155,23.418396,34.289282,3.479860
