step,epoch,lr,loss,loss_main,loss_aux,ed,nll,loss_sde,vol_mse,sde_acc,mean_mu,mean_sigma,eff_k,grad_norm,steps/s,eta_min,mean_nu,mean_mse,pred_mean_std
3350,7,0.000297,-9.871252,-0.702538,0.326254,0.073283,-0.755755,0.000003,0.326251,1.000000,0.016722,0.078111,1.000000,75.129225,11.152176,28.469781,2.309087,0.055250,0.009502
3400,7,0.000297,-9.589503,-0.719806,0.524379,0.070835,-0.766906,0.000002,0.524377,1.000000,0.015796,0.077613,1.000000,97.878734,11.155747,28.385967,2.306435,0.038939,0.009641
3450,7,0.000296,-9.350021,-0.712825,0.467726,0.071670,-0.762375,0.000003,0.467723,1.000000,0.014938,0.078610,1.000000,84.094808,11.159242,28.302401,2.371611,0.045717,0.009066
3500,7,0.000296,-9.417596,-0.713111,0.284884,0.071647,-0.761714,0.000006,0.284878,1.000000,0.015367,0.078330,1.000000,103.621675,11.162636,28.219140,2.362641,0.042597,0.009719
3550,7,0.000296,-9.908854,-0.719171,0.570519,0.071234,-0.767980,0.000005,0.570513,1.000000,0.018116,0.078143,1.000000,89.254533,11.165864,28.136351,2.333847,0.043974,0.011176
3600,8,0.000295,-9.279750,-0.723319,0.696268,0.071156,-0.771978,0.000008,0.696260,1.000000,0.015432,0.078423,1.000000,166.827441,11.157450,28.082881,2.317971,0.043604,0.009076
3650,8,0.000295,-9.869996,-0.719341,0.497360,0.071463,-0.769394,0.000005,0.497356,1.000000,0.015659,0.078476,1.000000,95.518931,11.160802,27.999781,2.337464,0.047738,0.010000
3700,8,0.000295,-9.863936,-0.717574,0.668099,0.071093,-0.765120,0.000004,0.668096,1.000000,0.016821,0.079207,1.000000,93.636958,11.163773,27.917682,2.355058,0.039999,0.009973
3750,8,0.000295,-8.627034,-0.713161,0.322918,0.071304,-0.760013,0.000004,0.322914,1.000000,0.015059,0.077587,1.000000,97.844836,11.166736,27.835649,2.328099,0.037335,0.008801
3800,8,0.000294,-10.051557,-0.705218,0.415827,0.071689,-0.753364,0.000003,0.415824,1.000000,0.016064,0.079108,1.000000,91.257620,11.169627,27.753836,2.350613,0.041007,0.007608
3850,8,0.000294,-9.759841,-0.727696,0.453573,0.070666,-0.775267,0.000004,0.453569,1.000000,0.017157,0.077660,1.000000,93.550864,11.172626,27.671800,2.323733,0.040794,0.010093
3900,8,0.000294,-10.027120,-0.715858,0.451398,0.072124,-0.766596,0.000004,0.451394,1.000000,0.017864,0.077809,1.000000,75.400235,11.175548,27.589998,2.334344,0.048918,0.011367
3950,8,0.000293,-10.011937,-0.717600,0.577144,0.071364,-0.765641,0.000006,0.577138,1.000000,0.015498,0.077888,1.000000,93.368108,11.178430,27.508336,2.353017,0.041197,0.009504
4000,8,0.000293,-9.986235,-0.714273,0.347201,0.071733,-0.763525,0.000004,0.347197,1.000000,0.015559,0.077934,1.000000,86.712961,11.181235,27.426904,2.321036,0.044619,0.007963
4050,9,0.000293,-9.860999,-0.725343,0.564756,0.070456,-0.771999,0.000002,0.564753,1.000000,0.017229,0.078573,1.000000,92.404794,11.162762,27.397639,2.310004,0.038093,0.009943
4100,9,0.000292,-9.239579,-0.700951,0.375115,0.071756,-0.749456,0.000002,0.375113,1.000000,0.015197,0.077607,1.000000,59.940153,11.165721,27.315746,2.334570,0.042091,0.007473
4150,9,0.000292,-9.762145,-0.713403,0.513375,0.072416,-0.764489,0.000003,0.513373,1.000000,0.015718,0.078194,1.000000,143.281306,11.168535,27.234250,2.293441,0.049595,0.007909
4200,9,0.000292,-10.050458,-0.712583,0.611617,0.071504,-0.761189,0.000003,0.611615,1.000000,0.016951,0.077774,1.000000,133.750789,11.171306,27.152899,2.316222,0.042850,0.010046
4250,9,0.000291,-10.193678,-0.727619,0.334902,0.070417,-0.776140,0.000003,0.334899,1.000000,0.016544,0.075756,1.000000,69.350546,11.174008,27.071754,2.340555,0.044376,0.009839
4300,9,0.000291,-9.893872,-0.706849,0.567869,0.071665,-0.753889,0.000004,0.567865,1.000000,0.017267,0.077666,1.000000,94.149121,11.176660,26.990771,2.295117,0.037361,0.009496
4350,9,0.000290,-9.825671,-0.724319,0.475680,0.070628,-0.771598,0.000002,0.475678,1.000000,0.016604,0.078704,1.000000,83.303735,11.179250,26.909974,2.384944,0.039884,0.009482
4400,9,0.000290,-10.063189,-0.706645,0.659482,0.071744,-0.754609,0.000002,0.659480,1.000000,0.015826,0.078009,1.000000,88.059138,11.181769,26.829386,2.292828,0.040309,0.009035
4450,9,0.000289,-10.003144,-0.713959,0.422651,0.071364,-0.761879,0.000003,0.422648,1.000000,0.015309,0.077617,1.000000,207.479462,11.184202,26.749040,2.315613,0.040792,0.008710
4500,10,0.000289,-9.436491,-0.704993,0.345818,0.071842,-0.753994,0.000004,0.345815,1.000000,0.016829,0.078902,1.000000,60.936074,11.177902,26.689564,2.310639,0.043599,0.009427
4550,10,0.000289,-10.185811,-0.715372,0.249459,0.071627,-0.764042,0.000004,0.249455,1.000000,0.016515,0.077543,1.000000,68.468447,11.180007,26.610001,2.356948,0.042854,0.008978
4600,10,0.000288,-9.772427,-0.715282,0.769369,0.071338,-0.764048,0.000004,0.769365,1.000000,0.016736,0.078500,1.000000,51.197631,11.182431,26.529712,2.340694,0.043655,0.009754
4650,10,0.000288,-9.386883,-0.713490,0.333589,0.072312,-0.764724,0.000003,0.333586,1.000000,0.016415,0.078624,1.000000,146.338971,11.184781,26.449632,2.371142,0.050261,0.009615
4700,10,0.000287,-9.967385,-0.719527,0.458707,0.071163,-0.767309,0.000003,0.458704,1.000000,0.015961,0.077750,1.000000,83.544784,11.186996,26.369904,2.366967,0.040669,0.009024
4750,10,0.000287,-10.109342,-0.723411,0.531339,0.070936,-0.771196,0.000004,0.531335,1.000000,0.015820,0.078267,1.000000,73.824596,11.189124,26.290410,2.357265,0.041058,0.009168
4800,10,0.000286,-10.026139,-0.718040,0.661592,0.070965,-0.765786,0.000003,0.661588,1.000000,0.015760,0.079303,1.000000,310.500201,11.191241,26.210974,2.368978,0.040878,0.009099
4850,10,0.000286,-10.141601,-0.720046,0.577750,0.070917,-0.767410,0.000004,0.577746,1.000000,0.017235,0.078643,1.000000,104.143259,11.193414,26.131437,2.342099,0.039687,0.010847
4900,10,0.000285,-9.909379,-0.712662,0.371144,0.071536,-0.761132,0.000004,0.371140,1.000000,0.015684,0.078155,1.000000,57.931231,11.195516,26.052096,2.420944,0.042343,0.008860
4950,11,0.000285,-9.985611,-0.714409,0.409704,0.071042,-0.761336,0.000002,0.409702,1.000000,0.017284,0.077871,1.000000,166.058043,11.189770,25.991002,2.352932,0.038019,0.010175
5000,11,0.000284,-9.925182,-0.727778,0.333964,0.070890,-0.776107,0.000003,0.333962,1.000000,0.016613,0.076467,1.000000,180.560748,11.191954,25.911471,2.305625,0.042946,0.011321
5050,11,0.000284,-8.236455,-0.720335,0.473219,0.071193,-0.769113,0.000004,0.473215,1.000000,0.017867,0.078582,1.000000,88.661178,11.177467,25.870500,2.352262,0.043941,0.009955
5100,11,0.000283,-9.903324,-0.722658,0.423281,0.070619,-0.769948,0.000002,0.423279,1.000000,0.015879,0.078285,1.000000,86.357891,11.179665,25.790874,2.348862,0.039935,0.010264
5150,11,0.000283,-9.867033,-0.715305,0.850140,0.071610,-0.764252,0.000010,0.850131,1.000000,0.016487,0.077613,1.000000,111.395493,11.181861,25.711284,2.320347,0.043810,0.009866
5200,11,0.000282,-9.876885,-0.706118,0.299265,0.072476,-0.756273,0.000004,0.299262,1.000000,0.015409,0.078645,1.000000,146.937438,11.183979,25.631904,2.283568,0.046391,0.008083
5250,11,0.000282,-9.877390,-0.706753,0.465197,0.072008,-0.755615,0.000001,0.465196,1.000000,0.016243,0.077774,1.000000,61.441093,11.186082,25.552587,2.277048,0.042859,0.008950
5300,11,0.000281,-9.771960,-0.722866,0.695329,0.071104,-0.771630,0.000001,0.695329,1.000000,0.016038,0.079274,1.000000,91.532943,11.188156,25.473368,2.393312,0.044043,0.009285
5350,11,0.000281,-9.804582,-0.717834,0.510876,0.071411,-0.766544,0.000001,0.510875,1.000000,0.016029,0.079439,1.000000,183.007576,11.189772,25.395216,2.382428,0.043350,0.009755
5400,12,0.000280,-10.159487,-0.718522,0.222243,0.071215,-0.766552,0.000001,0.222242,1.000000,0.017535,0.078409,1.000000,172.431641,11.184343,25.333034,2.296093,0.041408,0.009958
