step,loss,nll,crps,mean_mse,pred_mean_std,grad_norm,mean_nu,lr
8000,-2.539467,-1.235907,0.026140,0.015939,0.008225,9.667535,2.545949,0.000289
8050,-2.461003,-1.211563,0.026942,0.016951,0.007770,9.761565,2.634867,0.000288
8100,-2.545136,-1.227646,0.026205,0.015704,0.008845,15.172324,2.613285,0.000288
8150,-2.514653,-1.234281,0.026483,0.015604,0.009202,9.931985,2.678472,0.000288
8200,-2.437465,-1.216452,0.026444,0.017136,0.008129,9.966101,2.696602,0.000288
8250,-2.531627,-1.239935,0.025915,0.015411,0.009067,8.357421,2.635365,0.000288
8300,-2.531734,-1.220123,0.027132,0.017622,0.007178,8.711582,2.616393,0.000287
8350,-2.483105,-1.221106,0.026892,0.017443,0.008274,8.107391,2.576813,0.000287
8400,-2.521887,-1.212248,0.027102,0.016011,0.007045,14.659998,2.601586,0.000287
8450,-2.445108,-1.213166,0.026874,0.015967,0.007833,12.076581,2.780368,0.000287
8500,-2.497969,-1.221786,0.026805,0.016931,0.009774,11.783549,2.599334,0.000287
8550,-2.492237,-1.202141,0.027262,0.017400,0.007658,13.957350,2.686322,0.000286
8600,-2.455574,-1.205752,0.027374,0.016965,0.008324,12.934848,2.699345,0.000286
8650,-2.473444,-1.225947,0.026119,0.016858,0.008370,11.317280,2.638849,0.000286
8700,-2.456289,-1.213532,0.026977,0.016309,0.009592,8.717233,2.593997,0.000286
8750,-2.512039,-1.208281,0.026968,0.016270,0.009442,11.626421,2.679142,0.000286
8800,-2.513215,-1.212975,0.026444,0.015532,0.009380,16.612808,2.633685,0.000285
8850,-2.499612,-1.251384,0.026389,0.014459,0.007389,12.029896,2.767641,0.000285
8900,-2.480781,-1.216369,0.026565,0.017638,0.010245,15.114436,2.679339,0.000285
8950,-2.586312,-1.240474,0.026083,0.015243,0.008190,13.309523,2.775711,0.000285
9000,-2.467897,-1.232760,0.025957,0.016620,0.007542,13.769626,2.630027,0.000285
9050,-2.512225,-1.226346,0.026961,0.017508,0.008926,9.150354,2.690845,0.000284
9100,-2.535613,-1.216412,0.026649,0.015238,0.008109,10.727863,2.531871,0.000284
9150,-2.536866,-1.239949,0.026146,0.015401,0.008610,11.619870,2.617997,0.000284
9200,-2.487358,-1.212992,0.027087,0.017540,0.010452,11.244286,2.685742,0.000284
9250,-2.509415,-1.218256,0.026909,0.017107,0.006632,10.679765,2.660139,0.000283
